Epoch 1: start=-2.4527, end=2.4484, tau=3.2729
Epoch 1: start=-2.4546, end=2.4490, tau=3.2333
Epoch 2: start=-2.4575, end=2.4473, tau=3.2545
Epoch 3: start=-2.4609, end=2.4455, tau=3.2704
Epoch 4: start=-2.4641, end=2.4451, tau=3.2554
Epoch 5: start=-2.4673, end=2.4455, tau=3.2217
Epoch 6: start=-2.4710, end=2.4445, tau=3.2152
Epoch 7: start=-2.4707, end=2.4437, tau=3.2370
Epoch 8: start=-2.4791, end=2.4358, tau=3.3540
Epoch 9: start=-2.4813, end=2.4379, tau=3.2821
Epoch 10: start=-2.4861, end=2.4352, tau=3.3049
Epoch 11: start=-2.4864, end=2.4301, tau=3.4277
Epoch 12: start=-2.4935, end=2.4251, tau=3.4795
Epoch 13: start=-2.4910, end=2.4228, tau=3.5668
Epoch 14: start=-2.4998, end=2.4112, tau=3.7689
Epoch 15: start=-2.5021, end=2.4136, tau=3.6809
Epoch 16: start=-2.5080, end=2.4079, tau=3.7631
Epoch 17: start=-2.5151, end=2.4094, tau=3.6418
Epoch 18: start=-2.5220, end=2.4063, tau=3.6371
Epoch 19: start=-2.5234, end=2.4012, tau=3.7536
Epoch 20: start=-2.5178, end=2.4036, tau=3.7644
Epoch 21: start=-2.5126, end=2.4052, tau=3.7897
Epoch 22: start=-2.5066, end=2.4078, tau=3.7964
Epoch 23: start=-2.5060, end=2.3970, tau=4.1056
Epoch 24: start=-2.5132, end=2.3985, tau=3.9676
Epoch 25: start=-2.5090, end=2.4048, tau=3.8506
Epoch 26: start=-2.5095, end=2.4094, tau=3.7217
Epoch 27: start=-2.5084, end=2.4178, tau=3.5137
Epoch 28: start=-2.5081, end=2.4206, tau=3.4476
Epoch 29: start=-2.5016, end=2.4283, tau=3.3242
Epoch 30: start=-2.5072, end=2.4297, tau=3.2350
Epoch 31: start=-2.5050, end=2.4286, tau=3.2851
Epoch 32: start=-2.5037, end=2.4251, tau=3.3848
Epoch 33: start=-2.5014, end=2.4243, tau=3.4293
Epoch 34: start=-2.5067, end=2.4184, tau=3.5219
Epoch 35: start=-2.5095, end=2.4156, tau=3.5633
Epoch 36: start=-2.5156, end=2.4024, tau=3.8328
Epoch 37: start=-2.5106, end=2.4029, tau=3.8842
Epoch 38: start=-2.5133, end=2.4033, tau=3.8409
Epoch 39: start=-2.5050, end=2.4039, tau=3.9321
Epoch 40: start=-2.5038, end=2.4061, tau=3.8878
Epoch 41: start=-2.5070, end=2.4120, tau=3.6905
Epoch 42: start=-2.5085, end=2.4120, tau=3.6744
